,fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted
SVM,21.87304835319519,0.15888676643371583,0.6037288135593221,0.5940195823543971,0.6037288135593221,0.595201644853641
RandomForest,5.753032779693603,0.027691364288330078,0.6152542372881356,0.6467876710816352,0.6152542372881356,0.6289809602219539
MLP,20.11438717842102,0.012941789627075196,0.5633898305084746,0.6177098317656474,0.5633898305084746,0.584530244815608
