,accuracy,precision_weighted,recall_weighted,f1_weighted
SVM,0.5898305084745763,0.5893011084749767,0.5898305084745763,0.584764533620029
RandomForest,0.6288135593220339,0.649849073637172,0.6288135593220339,0.6381486172292217
MLP,0.5474576271186441,0.6124281230047063,0.5474576271186441,0.5725435800601145
