Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,NDVI_Terra_MOD13A3
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-06-01,MASA,0.5760000000000001
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-06-01,MASA,0.1928
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-06-01,MASA,0.25730000000000003
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-06-01,MASA,0.5597
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-06-01,MASA,0.5591
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-06-01,MASA,0.5534
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-06-01,MASA,0.46780000000000005
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-06-01,MASA,0.3452
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-06-01,MASA,0.5254
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-07-01,MASA,0.3425
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-07-01,MASA,0.7332000000000001
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-07-01,MASA,0.2931
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-07-01,MASA,0.2061
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-07-01,MASA,0.17320000000000002
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-07-01,MASA,0.41900000000000004
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-07-01,MASA,0.6487
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-07-01,MASA,0.1723
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-07-01,MASA,0.2773
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-07-01,MASA,0.5176000000000001
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-07-01,MASA,0.5502
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-07-01,MASA,0.5757
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-07-01,MASA,0.5814
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-07-01,MASA,0.47190000000000004
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-07-01,MASA,0.5185000000000001
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-08-01,MASA,0.29450000000000004
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-08-01,MASA,0.5395
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-08-01,MASA,0.3466
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-08-01,MASA,0.1507
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-08-01,MASA,0.1573
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-08-01,MASA,0.4645
