Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,EVI_Terra_MOD13A3
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-06-01,MASA,0.1361
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-06-01,MASA,0.19090000000000001
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-06-01,MASA,0.3447
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-06-01,MASA,0.3769
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-06-01,MASA,0.3234
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-06-01,MASA,0.28390000000000004
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-06-01,MASA,0.20980000000000001
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-06-01,MASA,0.3816
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-07-01,MASA,0.188
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-07-01,MASA,0.4832
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-07-01,MASA,0.1378
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-07-01,MASA,0.1422
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-07-01,MASA,0.0517
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-07-01,MASA,0.2912
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-07-01,MASA,0.4299
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-07-01,MASA,0.11320000000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-07-01,MASA,0.1975
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-07-01,MASA,0.2863
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-07-01,MASA,0.34490000000000004
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-07-01,MASA,0.30660000000000004
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-07-01,MASA,0.3698
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-07-01,MASA,0.3083
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-07-01,MASA,0.34950000000000003
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-08-01,MASA,0.158
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-08-01,MASA,0.3755
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-08-01,MASA,0.1585
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-08-01,MASA,0.10540000000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-08-01,MASA,0.0492
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-08-01,MASA,0.309
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-08-01,MASA,0.36060000000000003
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-08-01,MASA,0.10640000000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-08-01,MASA,0.1772
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-08-01,MASA,0.30920000000000003
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-08-01,MASA,0.3083
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-08-01,MASA,0.276
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-08-01,MASA,0.2838
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-08-01,MASA,0.28390000000000004
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-08-01,MASA,0.2513
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-09-01,MASA,0.1588
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-09-01,MASA,0.3663
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-09-01,MASA,0.15910000000000002
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-09-01,MASA,0.109
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-09-01,MASA,0.0029000000000000002
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-09-01,MASA,0.34750000000000003
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-09-01,MASA,0.38970000000000005
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-09-01,MASA,0.1034
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-09-01,MASA,0.1842
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-09-01,MASA,0.3372
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-09-01,MASA,0.2661
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-09-01,MASA,0.2927
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-09-01,MASA,0.34700000000000003
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-09-01,MASA,0.28550000000000003
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-09-01,MASA,0.2288
