Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,LST_Night_Aqua_MYD21C3
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-11-01,MASA,5.526000000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-11-01,MASA,5.4648
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2002-11-01,MASA,5.8004
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2002-11-01,MASA,5.6160000000000005
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2002-11-01,MASA,5.6788
Mazandaran,23.0,40759,36.54,53.0,Sari,2002-11-01,MASA,5.6524
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2002-11-01,MASA,5.632000000000001
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2002-11-01,MASA,5.4912
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2002-12-01,MASA,5.400399999999999
Mazandaran,23.7,99309,36.48,52.47,Amol,2002-12-01,MASA,5.4736
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2002-12-01,MASA,5.6272
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2002-12-01,MASA,5.313200000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2002-12-01,MASA,5.724
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2002-12-01,MASA,5.472799999999999
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2002-12-01,MASA,5.4924
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-12-01,MASA,5.417999999999999
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-12-01,MASA,5.339600000000001
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2002-12-01,MASA,5.6748
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2002-12-01,MASA,5.525600000000001
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2002-12-01,MASA,5.5328
Mazandaran,23.0,40759,36.54,53.0,Sari,2002-12-01,MASA,5.4928
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2002-12-01,MASA,5.4712000000000005
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2002-12-01,MASA,5.437200000000001
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-01-01,MASA,5.4079999999999995
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-01-01,MASA,5.522
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-01-01,MASA,5.6176
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-01-01,MASA,5.2248
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-01-01,MASA,5.672000000000001
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-01-01,MASA,5.5396
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-01-01,MASA,5.5384
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-01-01,MASA,5.462400000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-01-01,MASA,5.3764
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-01-01,MASA,5.65
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-01-01,MASA,5.5280000000000005
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-01-01,MASA,5.583600000000001
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-01-01,MASA,5.533200000000001
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-01-01,MASA,5.504
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-01-01,MASA,5.4616
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-02-01,MASA,5.4104
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-02-01,MASA,5.574
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-02-01,MASA,5.6284
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-02-01,MASA,5.2252
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-02-01,MASA,5.6656
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-02-01,MASA,5.583200000000001
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-02-01,MASA,5.5552
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-02-01,MASA,5.4732
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-02-01,MASA,5.4639999999999995
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-02-01,MASA,5.6496
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-02-01,MASA,5.5484
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-02-01,MASA,5.6508
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-02-01,MASA,5.5851999999999995
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-02-01,MASA,5.5764
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-02-01,MASA,5.4504
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-03-01,MASA,5.4396
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-03-01,MASA,5.5208
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-03-01,MASA,5.602
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-03-01,MASA,5.376
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-03-01,MASA,5.6204
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-03-01,MASA,5.523200000000001
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-03-01,MASA,5.5032000000000005
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-03-01,MASA,5.476800000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-03-01,MASA,5.426800000000001
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-03-01,MASA,5.5412
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-03-01,MASA,5.5336
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-03-01,MASA,5.472799999999999
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-03-01,MASA,5.5176
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-03-01,MASA,5.482
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-03-01,MASA,5.4376
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-04-01,MASA,5.5176
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-04-01,MASA,5.6572000000000005
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-04-01,MASA,5.6776
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-04-01,MASA,5.4952
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-04-01,MASA,5.6604
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-04-01,MASA,5.6091999999999995
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-04-01,MASA,5.6732000000000005
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-04-01,MASA,5.5520000000000005
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-04-01,MASA,5.5392
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-04-01,MASA,5.650399999999999
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-04-01,MASA,5.5888
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-04-01,MASA,5.6028
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-04-01,MASA,5.660800000000001
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-04-01,MASA,5.623600000000001
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-04-01,MASA,5.527200000000001
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-05-01,MASA,5.5504
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-05-01,MASA,5.743200000000001
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-05-01,MASA,5.768000000000001
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-05-01,MASA,5.5208
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-05-01,MASA,5.7976
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-05-01,MASA,5.7092
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-05-01,MASA,5.7248
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-05-01,MASA,5.6036
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-05-01,MASA,5.5576
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-05-01,MASA,5.7724
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-05-01,MASA,5.6776
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-05-01,MASA,5.7148
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-05-01,MASA,5.7252
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-05-01,MASA,5.7139999999999995
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-05-01,MASA,5.564
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-06-01,MASA,5.6164
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-06-01,MASA,5.7764
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-06-01,MASA,5.8616
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-06-01,MASA,5.624
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-06-01,MASA,5.89
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-06-01,MASA,5.8096000000000005
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-06-01,MASA,5.7856000000000005
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-06-01,MASA,5.687200000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-06-01,MASA,5.6448
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-06-01,MASA,5.83
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-06-01,MASA,5.6788
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-06-01,MASA,5.7303999999999995
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-06-01,MASA,5.8104
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-06-01,MASA,5.799600000000001
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-06-01,MASA,5.6516
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-07-01,MASA,5.6792
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-07-01,MASA,5.793200000000001
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-07-01,MASA,5.9392
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-07-01,MASA,5.675600000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-07-01,MASA,5.9748
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-07-01,MASA,5.8756
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-07-01,MASA,5.8024000000000004
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-07-01,MASA,5.6968000000000005
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-07-01,MASA,5.694
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-07-01,MASA,5.89
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-07-01,MASA,5.731599999999999
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-07-01,MASA,5.8284
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-07-01,MASA,5.8624
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-07-01,MASA,5.8584000000000005
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-07-01,MASA,5.6996
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-08-01,MASA,5.698
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-08-01,MASA,5.9012
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-08-01,MASA,5.9704
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-08-01,MASA,5.682799999999999
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-08-01,MASA,6.034400000000001
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-08-01,MASA,5.925600000000001
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-08-01,MASA,5.892
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-08-01,MASA,5.7676
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-08-01,MASA,5.7236
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-08-01,MASA,5.9896
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-08-01,MASA,5.8176
