Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,NDVI_Aqua_MYD13A3
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2002-11-01,MASA,0.3982
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-11-01,MASA,0.1734
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-11-01,MASA,0.2316
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2002-11-01,MASA,0.45580000000000004
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2002-11-01,MASA,0.3642
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2002-11-01,MASA,0.5083
Mazandaran,23.0,40759,36.54,53.0,Sari,2002-11-01,MASA,0.42160000000000003
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2002-11-01,MASA,0.38730000000000003
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2002-11-01,MASA,0.2612
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2002-12-01,MASA,0.3516
Mazandaran,23.7,99309,36.48,52.47,Amol,2002-12-01,MASA,0.3714
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2002-12-01,MASA,0.23720000000000002
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2002-12-01,MASA,0.1164
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2002-12-01,MASA,-0.10690000000000001
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2002-12-01,MASA,0.31420000000000003
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2002-12-01,MASA,0.40240000000000004
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-12-01,MASA,0.1995
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-12-01,MASA,0.23920000000000002
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2002-12-01,MASA,0.4423
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2002-12-01,MASA,0.3114
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2002-12-01,MASA,0.446
Mazandaran,23.0,40759,36.54,53.0,Sari,2002-12-01,MASA,0.4026
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2002-12-01,MASA,0.396
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2002-12-01,MASA,-0.057300000000000004
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-01-01,MASA,0.2054
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-01-01,MASA,0.33140000000000003
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-01-01,MASA,0.1943
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-01-01,MASA,0.0187
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-01-01,MASA,0.1039
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-01-01,MASA,0.35700000000000004
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-01-01,MASA,0.3508
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-01-01,MASA,0.1821
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-01-01,MASA,0.1811
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-01-01,MASA,0.4214
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-01-01,MASA,0.2746
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-01-01,MASA,0.4172
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-01-01,MASA,0.3902
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-01-01,MASA,0.3537
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-01-01,MASA,-0.0055000000000000005
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-02-01,MASA,0.2482
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-02-01,MASA,0.3322
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-02-01,MASA,0.197
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-02-01,MASA,0.0159
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-02-01,MASA,0.1039
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-02-01,MASA,0.46830000000000005
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-02-01,MASA,0.3502
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-02-01,MASA,0.2041
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-02-01,MASA,0.17900000000000002
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-02-01,MASA,0.35710000000000003
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-02-01,MASA,0.29560000000000003
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-02-01,MASA,0.39680000000000004
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-02-01,MASA,0.4182
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-02-01,MASA,0.4025
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-02-01,MASA,0.11810000000000001
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-03-01,MASA,0.2621
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-03-01,MASA,0.3528
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-03-01,MASA,0.2041
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-03-01,MASA,0.1449
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-03-01,MASA,-0.19540000000000002
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-03-01,MASA,0.5348
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-03-01,MASA,0.3383
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-03-01,MASA,0.2566
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-03-01,MASA,0.21330000000000002
