iter	Passed	Remaining
404	9689	2272
405	9721	2250
406	9747	2227
407	9766	2202
408	9789	2178
409	9812	2154
410	9833	2129
411	9874	2109
412	9903	2086
413	9941	2065
414	9978	2043
415	10011	2021
416	10034	1997
417	10058	1973
418	10085	1949
419	10112	1926
420	10135	1901
421	10172	1880
422	10195	1855
423	10217	1831
424	10238	1806
425	10257	1781
426	10285	1758
427	10306	1733
428	10326	1709
429	10343	1683
430	10362	1659
431	10378	1633
432	10394	1608
433	10409	1582
434	10424	1557
435	10441	1532
436	10461	1508
437	10479	1483
438	10497	1458
439	10514	1433
440	10533	1409
441	10548	1384
442	10566	1359
443	10587	1335
444	10606	1310
445	10626	1286
446	10643	1261
447	10661	1237
448	10681	1213
449	10704	1189
450	10722	1164
451	10740	1140
452	10758	1116
453	10774	1091
454	10792	1067
455	10812	1043
456	10831	1019
457	10854	995
458	10873	971
459	10890	946
460	10908	922
461	10926	898
462	10950	875
463	10970	851
464	10996	827
465	11021	804
466	11046	780
467	11070	756
468	11097	733
469	11118	709
470	11142	686
471	11164	662
472	11187	638
473	11205	614
474	11222	590
475	11238	566
476	11257	542
477	11278	519
478	11298	495
479	11322	471
480	11338	447
481	11356	424
482	11372	400
483	11391	376
484	11409	352
485	11427	329
486	11445	305
487	11461	281
488	11477	258
489	11492	234
490	11508	210
491	11523	187
492	11539	163
493	11559	140
494	11575	116
495	11593	93
496	11609	70
497	11625	46
498	11641	23
499	11657	0
