iter	MultiClass
281	0.158592193
282	0.158058054
283	0.1575585407
284	0.1571885435
285	0.1568332977
286	0.1562646478
287	0.1558940767
288	0.1554311925
289	0.1549767597
290	0.1544072199
291	0.1538793152
292	0.1535201051
293	0.1531041532
294	0.1527600797
295	0.1521601492
296	0.1516979803
297	0.1513593391
298	0.1506961127
299	0.1503689576
300	0.1499459444
301	0.1493258571
302	0.1489441258
303	0.1484535069
304	0.1479285652
305	0.1473918098
306	0.146913014
307	0.1465634039
308	0.1462546072
309	0.145591881
310	0.1451976695
311	0.1446749772
312	0.1441399839
313	0.1434450507
314	0.1430404688
315	0.1428573873
316	0.1423818197
317	0.1418902104
318	0.1412554856
319	0.1407620757
320	0.1404952839
321	0.1399327456
322	0.1394074469
323	0.1390728477
324	0.1387620383
325	0.1383099537
326	0.1378972793
327	0.1375286596
328	0.1371306859
329	0.1367271783
330	0.1364464896
331	0.1361746523
332	0.1358116216
333	0.1353665486
334	0.1349797274
335	0.1345482249
336	0.1342976832
337	0.1339437585
338	0.133406257
339	0.1332190958
340	0.1327308224
341	0.1322937331
342	0.1320447038
343	0.1318128347
344	0.131452648
345	0.1311134334
346	0.1307693218
347	0.1305012349
348	0.1302323853
349	0.1298614772
350	0.1295513801
351	0.1290721158
352	0.1288560751
353	0.1285614885
354	0.1280893889
355	0.1277660474
356	0.1273927341
357	0.1270615436
358	0.1267386232
359	0.1262609052
360	0.1259970656
361	0.1255382724
362	0.1251085957
363	0.1247979787
364	0.1243680381
365	0.1239417067
366	0.1235468446
367	0.1232159309
368	0.1229658452
369	0.1226010729
370	0.1223429606
371	0.1220649916
372	0.1218111416
373	0.121472052
374	0.1210558245
375	0.1208716989
376	0.1205555684
377	0.120248454
378	0.119911344
379	0.1196889014
380	0.119442023
381	0.1192080161
382	0.1187533989
383	0.1184368494
384	0.1182723407
385	0.1179259841
386	0.1176651583
387	0.11726978
388	0.1169193007
389	0.1166445106
390	0.1163577006
391	0.1159932165
392	0.1157490658
393	0.1153583466
394	0.1151052613
395	0.1148680371
396	0.1145557422
397	0.1143844513
398	0.1141102588
399	0.1138861473
400	0.1136621533
401	0.1134945796
402	0.1131597226
403	0.1128248014
404	0.1125604622
405	0.1122407085
406	0.112072427
407	0.111771359
408	0.1114375437
409	0.1112676513
410	0.1110221709
411	0.1108325466
412	0.1106442139
413	0.110327017
414	0.1100086223
415	0.1098617505
416	0.1096976451
417	0.1094088228
418	0.1091887792
419	0.1089504844
420	0.1087024887
421	0.1084769936
422	0.1081687879
423	0.1078588523
424	0.1075548717
425	0.1073808454
426	0.1072143179
427	0.1070809756
428	0.1069193339
429	0.1068165543
430	0.1064906703
431	0.1061660039
432	0.1059553406
433	0.1057262653
434	0.1054872494
435	0.1052228711
436	0.1050690963
437	0.1047975816
438	0.1045700947
439	0.1042396489
440	0.1040122985
441	0.1037613335
442	0.1035308245
443	0.1032358224
444	0.1029729311
445	0.1027735419
446	0.1026135362
447	0.1023232144
448	0.1021097894
449	0.1019830596
450	0.1017901493
451	0.1016035111
452	0.1013087912
453	0.1011224471
454	0.1008950379
455	0.1006490703
456	0.1005240214
457	0.1002380475
458	0.1001170523
459	0.09987931141
460	0.09968110261
461	0.09950935926
462	0.09919420373
463	0.09893105407
464	0.09874643573
465	0.09853130905
466	0.09834707791
467	0.09810624007
468	0.0979547285
469	0.09773291236
470	0.09748820452
471	0.09724172401
472	0.09702583633
473	0.09679834683
474	0.0965395371
475	0.09626163631
476	0.09599958922
477	0.095779262
478	0.09560453509
479	0.09550180835
480	0.09536464732
481	0.09511983256
482	0.09476431462
483	0.09449547676
484	0.09429357987
485	0.09404212464
486	0.09376899004
487	0.09352030004
488	0.09329040485
489	0.09306541076
490	0.09285728439
491	0.09275961334
492	0.09255987412
493	0.09234149308
494	0.09223461673
495	0.09212474859
496	0.09195270231
497	0.09171468706
498	0.09150987831
499	0.09131798038

143439
509349
