date,St_ID,Region,St_Ele,St_Lat,St_Lon,St_Name,region_id,CHIRPS
1985-01-01,40732,Mazandaran,-20.0,36.9,50.68,Ramsar,MASA,93.87391662597656
1985-01-01,40734,Mazandaran,-20.9,36.66,51.47,Nowshahr,MASA,93.69245147705078
1985-01-01,40735,Mazandaran,1855.4,36.23,51.3,Siahbisheh,MASA,192.18860626220703
1985-01-01,40736,Mazandaran,-21.0,36.7,52.64,Babolsar,MASA,75.88796728731383
1985-01-01,40737,Mazandaran,14.7,36.49,52.11,Gharakhil,MASA,86.7300238609314
1985-01-01,40759,Mazandaran,23.0,36.54,53.0,Sari,MASA,67.13946318626404
1985-01-01,40760,Mazandaran,1294.3,36.25,53.55,Kiyasar,MASA,98.49775218963623
1985-01-01,40788,Mazandaran,16.7,36.64,53.2,Sari (Dasht-E-Naz Airport),MASA,56.59462547302246
1985-01-01,99299,Mazandaran,-10.0,36.74,53.84,Galugah,MASA,51.10362768173218
1985-01-01,99306,Mazandaran,-20.0,36.86,53.39,Bandar-E-Amirabad,MASA,51.34687546636328
1985-01-01,99309,Mazandaran,23.7,36.48,52.47,Amol,MASA,79.7368950843811
1985-01-01,99348,Mazandaran,1550.0,36.39,51.73,Kojur,MASA,142.09437543153763
1985-01-01,99357,Mazandaran,2120.0,36.2,51.8,Baladeh,MASA,157.6603081226349
1985-01-01,99360,Mazandaran,610.0,36.1,53.06,Polsefid,MASA,71.75606274604797
1985-01-01,99361,Mazandaran,1805.0,36.07,52.84,Alasht,MASA,125.55960273742676
1985-02-01,40732,Mazandaran,-20.0,36.9,50.68,Ramsar,MASA,216.82379341125488
1985-02-01,40734,Mazandaran,-20.9,36.66,51.47,Nowshahr,MASA,154.3972454071045
1985-02-01,40735,Mazandaran,1855.4,36.23,51.3,Siahbisheh,MASA,189.0813694000244
1985-02-01,40736,Mazandaran,-21.0,36.7,52.64,Babolsar,MASA,105.11505839140109
1985-02-01,40737,Mazandaran,14.7,36.49,52.11,Gharakhil,MASA,119.27523803710938
1985-02-01,40759,Mazandaran,23.0,36.54,53.0,Sari,MASA,101.30030822753906
1985-02-01,40760,Mazandaran,1294.3,36.25,53.55,Kiyasar,MASA,112.09974670410156
1985-02-01,40788,Mazandaran,16.7,36.64,53.2,Sari (Dasht-E-Naz Airport),MASA,82.54963493347168
1985-02-01,99299,Mazandaran,-10.0,36.74,53.84,Galugah,MASA,65.84355926513672
1985-02-01,99306,Mazandaran,-20.0,36.86,53.39,Bandar-E-Amirabad,MASA,64.76770585120758
1985-02-01,99309,Mazandaran,23.7,36.48,52.47,Amol,MASA,118.70444679260254
1985-02-01,99348,Mazandaran,1550.0,36.39,51.73,Kojur,MASA,169.49606657028198
1985-02-01,99357,Mazandaran,2120.0,36.2,51.8,Baladeh,MASA,170.03690242767334
1985-02-01,99360,Mazandaran,610.0,36.1,53.06,Polsefid,MASA,149.12284183502197
1985-02-01,99361,Mazandaran,1805.0,36.07,52.84,Alasht,MASA,169.96290111541748
