Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,PERSIANN_CDR
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1990-01-01,MASA,60.62080669403076
Mazandaran,23.7,99309,36.48,52.47,Amol,1990-01-01,MASA,46.23085427284241
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1990-01-01,MASA,40.71679425239563
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1990-01-01,MASA,53.85821485519409
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1990-01-01,MASA,25.12315273284912
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1990-01-01,MASA,28.362602949142456
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1990-01-01,MASA,52.98086667060852
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1990-01-01,MASA,37.40120589733124
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1990-01-01,MASA,57.6506073474884
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1990-01-01,MASA,68.0418107509613
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1990-01-01,MASA,44.900962710380554
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1990-01-01,MASA,79.97337913513184
Mazandaran,23.0,40759,36.54,53.0,Sari,1990-01-01,MASA,34.530765533447266
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1990-01-01,MASA,34.530765533447266
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1990-01-01,MASA,72.53413891792297
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1990-02-01,MASA,
Mazandaran,23.7,99309,36.48,52.47,Amol,1990-02-01,MASA,
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1990-02-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1990-02-01,MASA,
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1990-02-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1990-02-01,MASA,
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1990-02-01,MASA,
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1990-02-01,MASA,
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1990-02-01,MASA,
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1990-02-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1990-02-01,MASA,
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1990-02-01,MASA,
Mazandaran,23.0,40759,36.54,53.0,Sari,1990-02-01,MASA,
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1990-02-01,MASA,
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1990-02-01,MASA,
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1990-03-01,MASA,32.01486039161682
Mazandaran,23.7,99309,36.48,52.47,Amol,1990-03-01,MASA,40.18264055252075
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1990-03-01,MASA,54.42363405227661
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1990-03-01,MASA,38.21592330932617
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1990-03-01,MASA,43.60260796546936
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1990-03-01,MASA,32.17953538894653
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1990-03-01,MASA,33.734225273132324
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1990-03-01,MASA,20.605318546295166
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1990-03-01,MASA,32.7157838344574
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1990-03-01,MASA,44.38654375076294
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1990-03-01,MASA,30.2169132232666
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1990-03-01,MASA,54.8188202381134
Mazandaran,23.0,40759,36.54,53.0,Sari,1990-03-01,MASA,41.114266872406006
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1990-03-01,MASA,41.114266872406006
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1990-03-01,MASA,50.50920271873474
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1990-04-01,MASA,30.62157243490219
Mazandaran,23.7,99309,36.48,52.47,Amol,1990-04-01,MASA,26.517655104398727
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1990-04-01,MASA,30.749906957149506
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1990-04-01,MASA,34.87112933397293
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1990-04-01,MASA,25.41333669424057
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1990-04-01,MASA,23.644144862890244
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1990-04-01,MASA,29.60147398710251
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1990-04-01,MASA,20.670744597911835
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1990-04-01,MASA,33.70340999960899
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1990-04-01,MASA,37.85195130109787
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1990-04-01,MASA,24.12202161550522
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1990-04-01,MASA,47.47147220373154
Mazandaran,23.0,40759,36.54,53.0,Sari,1990-04-01,MASA,29.201533615589142
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1990-04-01,MASA,29.201533615589142
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1990-04-01,MASA,37.518591433763504
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1990-05-01,MASA,22.18188488483429
Mazandaran,23.7,99309,36.48,52.47,Amol,1990-05-01,MASA,28.761125326156616
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1990-05-01,MASA,30.98452317714691
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1990-05-01,MASA,19.328057885169983
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1990-05-01,MASA,23.295782804489136
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1990-05-01,MASA,17.258020043373108
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1990-05-01,MASA,27.143199920654297
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1990-05-01,MASA,19.656274795532227
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1990-05-01,MASA,23.36939001083374
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1990-05-01,MASA,24.174633383750916
