Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,GPM
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1998-05-01,MASA,29.760002106428146
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1998-05-01,MASA,31.992001086473465
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1998-05-01,MASA,35.71200031042099
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1998-05-01,MASA,35.71200031042099
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1998-05-01,MASA,43.896003037691116
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1998-05-01,MASA,51.33600425720215
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1998-05-01,MASA,31.992001086473465
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1998-05-01,MASA,50.592002749443054
Mazandaran,23.0,40759,36.54,53.0,Sari,1998-05-01,MASA,33.48000133037567
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1998-05-01,MASA,32.73600259423256
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1998-05-01,MASA,51.33600425720215
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1998-06-01,MASA,18.720000386238098
Mazandaran,23.7,99309,36.48,52.47,Amol,1998-06-01,MASA,28.80000203847885
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1998-06-01,MASA,23.759999871253967
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1998-06-01,MASA,20.16000062227249
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1998-06-01,MASA,12.240000665187836
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1998-06-01,MASA,12.240000665187836
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1998-06-01,MASA,26.640000343322754
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1998-06-01,MASA,12.960000783205032
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1998-06-01,MASA,21.600000858306885
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1998-06-01,MASA,21.600000858306885
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1998-06-01,MASA,17.280000150203705
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1998-06-01,MASA,20.880000740289688
Mazandaran,23.0,40759,36.54,53.0,Sari,1998-06-01,MASA,22.32000097632408
