Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,PERSIANN_CDR
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2010-01-01,MASA,24.228114277124405
Mazandaran,23.7,99309,36.48,52.47,Amol,2010-01-01,MASA,26.69473698735237
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2010-01-01,MASA,26.26441104710102
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2010-01-01,MASA,29.374893099069595
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2010-01-01,MASA,23.825017869472504
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2010-01-01,MASA,25.720721557736397
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2010-01-01,MASA,28.391052916646004
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2010-01-01,MASA,28.37366497516632
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2010-01-01,MASA,31.481174647808075
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2010-01-01,MASA,32.97868736088276
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2010-01-01,MASA,23.862672239542007
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2010-01-01,MASA,42.41402347385883
Mazandaran,23.0,40759,36.54,53.0,Sari,2010-01-01,MASA,27.009091317653656
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2010-01-01,MASA,27.009091317653656
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2010-01-01,MASA,28.291472777724266
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2010-02-01,MASA,50.60167671740055
Mazandaran,23.7,99309,36.48,52.47,Amol,2010-02-01,MASA,55.24288614094257
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2010-02-01,MASA,56.51035316288471
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2010-02-01,MASA,59.79964843392372
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2010-02-01,MASA,53.08474116027355
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2010-02-01,MASA,55.77229791879654
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2010-02-01,MASA,57.73383390903473
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2010-02-01,MASA,61.271759659051895
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2010-02-01,MASA,64.49740245938301
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2010-02-01,MASA,66.50098648667336
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2010-02-01,MASA,56.82498452067375
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2010-02-01,MASA,72.03978984057903
Mazandaran,23.0,40759,36.54,53.0,Sari,2010-02-01,MASA,53.77367901802063
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2010-02-01,MASA,53.77367901802063
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2010-02-01,MASA,66.3727327734232
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2010-03-01,MASA,30.845811039209366
Mazandaran,23.7,99309,36.48,52.47,Amol,2010-03-01,MASA,37.17734359204769
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2010-03-01,MASA,33.93343533575535
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2010-03-01,MASA,40.14631450176239
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2010-03-01,MASA,26.53414013981819
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2010-03-01,MASA,23.36237110197544
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2010-03-01,MASA,36.75601473450661
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2010-03-01,MASA,22.906221121549606
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2010-03-01,MASA,49.6819456666708
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2010-03-01,MASA,55.190449237823486
