Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,PERSIANN_CDR
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2020-01-01,MASA,22.065789878368378
Mazandaran,23.7,99309,36.48,52.47,Amol,2020-01-01,MASA,30.743624091148376
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2020-01-01,MASA,28.195143163204193
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2020-01-01,MASA,43.389057874679565
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2020-01-01,MASA,26.095021903514862
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2020-01-01,MASA,29.19444963335991
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2020-01-01,MASA,35.468864142894745
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2020-01-01,MASA,26.95552760362625
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2020-01-01,MASA,44.30631458759308
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2020-01-01,MASA,46.00256735086441
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2020-01-01,MASA,26.084334194660187
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2020-01-01,MASA,64.24299281835556
Mazandaran,23.0,40759,36.54,53.0,Sari,2020-01-01,MASA,26.38230150938034
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2020-01-01,MASA,26.38230150938034
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2020-01-01,MASA,55.288415133953094
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2020-02-01,MASA,80.98206534981728
Mazandaran,23.7,99309,36.48,52.47,Amol,2020-02-01,MASA,78.53740084171295
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2020-02-01,MASA,71.34487611055374
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2020-02-01,MASA,93.00759357213974
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2020-02-01,MASA,52.194638311862946
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2020-02-01,MASA,57.64084202051163
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2020-02-01,MASA,88.09347820281982
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2020-02-01,MASA,65.22412556409836
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2020-02-01,MASA,93.61388665437698
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2020-02-01,MASA,87.70915588736534
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2020-02-01,MASA,81.8542833328247
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2020-02-01,MASA,94.42393857240677
Mazandaran,23.0,40759,36.54,53.0,Sari,2020-02-01,MASA,62.3740810751915
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2020-02-01,MASA,62.3740810751915
