Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,CHIRPS
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-01-01,MASA,82.69420003890991
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-01-01,MASA,50.6285514831543
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-01-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-01-01,MASA,100.55567646026611
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-01-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-01-01,MASA,45.87475919723511
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-01-01,MASA,54.86991024017334
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-01-01,MASA,77.64502215385437
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-01-01,MASA,94.39196157455444
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-01-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-01-01,MASA,54.38055753707886
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-01-01,MASA,42.693410873413086
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-01-01,MASA,44.60804080963135
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-01-01,MASA,42.79449510574341
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-01-01,MASA,109.0909514427185
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-02-01,MASA,104.25555849075317
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-02-01,MASA,67.10664415359497
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-02-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-02-01,MASA,128.05548691749573
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-02-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-02-01,MASA,54.32239580154419
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-02-01,MASA,71.01643681526184
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-02-01,MASA,66.68454170227051
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-02-01,MASA,129.07091522216797
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-02-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-02-01,MASA,75.05766463279724
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-02-01,MASA,107.37682175636292
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-02-01,MASA,65.96538829803467
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-02-01,MASA,56.61868953704834
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-02-01,MASA,146.27683782577515
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-03-01,MASA,177.58019399642944
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-03-01,MASA,90.17713952064514
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-03-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-03-01,MASA,321.79041385650635
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-03-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-03-01,MASA,57.587706565856934
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-03-01,MASA,104.23418879508972
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-03-01,MASA,60.80221939086914
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-03-01,MASA,202.3918743133545
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-03-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-03-01,MASA,118.49383115768433
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-03-01,MASA,171.41051197052002
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-03-01,MASA,76.36009621620178
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-03-01,MASA,63.37443828582764
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-03-01,MASA,477.5614879131317
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-04-01,MASA,102.83222246170044
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-04-01,MASA,68.9372968673706
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-04-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-04-01,MASA,251.61350059509277
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-04-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-04-01,MASA,30.686078786849976
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-04-01,MASA,75.63481569290161
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-04-01,MASA,40.000828981399536
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-04-01,MASA,142.90602493286133
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-04-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-04-01,MASA,73.76302886009216
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-04-01,MASA,76.02499532699585
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-04-01,MASA,90.0346040725708
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-04-01,MASA,69.56789064407349
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-04-01,MASA,267.36122012138367
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-05-01,MASA,20.28768825531006
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-05-01,MASA,17.79012632369995
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-05-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-05-01,MASA,29.976204872131348
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-05-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-05-01,MASA,12.99100399017334
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-05-01,MASA,17.927791595458984
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-05-01,MASA,16.665943145751953
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-05-01,MASA,27.334877967834473
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-05-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-05-01,MASA,19.855305194854736
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-05-01,MASA,94.20317888259888
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-05-01,MASA,25.758468627929688
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-05-01,MASA,20.9296875
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-05-01,MASA,50.90532112121582
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-06-01,MASA,38.31183099746704
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-06-01,MASA,39.101351261138916
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-06-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-06-01,MASA,78.4548168182373
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-06-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-06-01,MASA,9.40904426574707
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-06-01,MASA,35.0387544631958
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-06-01,MASA,18.554983139038086
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-06-01,MASA,68.8000955581665
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-06-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-06-01,MASA,29.91237163543701
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-06-01,MASA,52.54979920387268
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-06-01,MASA,24.693076133728027
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-06-01,MASA,12.436305522918701
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-06-01,MASA,74.48812198638916
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-07-01,MASA,19.38679313659668
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-07-01,MASA,14.785826683044434
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-07-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-07-01,MASA,11.89907169342041
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-07-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-07-01,MASA,11.87630558013916
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-07-01,MASA,12.784509658813477
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-07-01,MASA,11.430747509002686
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-07-01,MASA,12.609748601913452
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-07-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-07-01,MASA,18.276466369628906
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-07-01,MASA,24.615734100341797
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-07-01,MASA,20.94679880142212
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-07-01,MASA,16.989519119262695
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-07-01,MASA,10.377299070358276
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-08-01,MASA,16.3602237701416
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-08-01,MASA,13.12725031375885
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-08-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-08-01,MASA,11.694936752319336
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-08-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-08-01,MASA,8.802628755569458
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-08-01,MASA,11.98398208618164
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-08-01,MASA,19.915380477905273
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-08-01,MASA,11.297545909881592
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-08-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-08-01,MASA,16.576213121414185
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-08-01,MASA,37.92665719985962
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-08-01,MASA,12.951292276382446
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-08-01,MASA,11.664998531341553
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-08-01,MASA,11.152482986450195
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-09-01,MASA,38.67937707901001
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-09-01,MASA,57.26815724372864
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-09-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-09-01,MASA,56.904677391052246
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-09-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-09-01,MASA,14.095809936523438
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-09-01,MASA,64.38343930244446
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-09-01,MASA,20.308603286743164
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-09-01,MASA,63.35019040107727
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-09-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-09-01,MASA,33.27053785324097
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-09-01,MASA,41.76447916030884
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-09-01,MASA,42.73361110687256
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-09-01,MASA,35.90340805053711
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-09-01,MASA,48.114312171936035
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-10-01,MASA,45.23572397232056
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-10-01,MASA,78.20031833648682
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-10-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-10-01,MASA,85.00996208190918
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-10-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-10-01,MASA,24.06765365600586
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-10-01,MASA,74.08525586128235
