Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,CHIRPS
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-01-01,MASA,210.29138565063477
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-01-01,MASA,143.77604484558105
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-01-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-01-01,MASA,188.34285640716553
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-01-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-01-01,MASA,77.97340393066406
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-01-01,MASA,143.07998275756836
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-01-01,MASA,153.40966606140137
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-01-01,MASA,198.85443305969238
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-01-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-01-01,MASA,134.6612958908081
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-01-01,MASA,141.7695369720459
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-01-01,MASA,126.32431221008301
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-01-01,MASA,102.78134250640869
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-01-01,MASA,184.2495241165161
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-02-01,MASA,196.56375885009766
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-02-01,MASA,106.08237075805664
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-02-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-02-01,MASA,131.89105224609375
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-02-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-02-01,MASA,71.65839958190918
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-02-01,MASA,96.57939910888672
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-02-01,MASA,113.20141983032227
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-02-01,MASA,134.14105033874512
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-02-01,MASA,
