Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,PERSIANN_CDR
Mazandaran,1805,99361,36.07,52.84,Alasht,1/1/2000,MASA,54.19548172
Mazandaran,23.7,99309,36.48,52.47,Amol,1/1/2000,MASA,52.41673201
Mazandaran,-21,40736,36.7,52.64,Babolsar,1/1/2000,MASA,52.70871162
Mazandaran,2120,99357,36.2,51.8,Baladeh,1/1/2000,MASA,68.55923164
Mazandaran,-20,99306,36.86,53.39,Bandar-E-Amirabad,1/1/2000,MASA,46.07157427
Mazandaran,-10,99299,36.74,53.84,Galugah,1/1/2000,MASA,51.36960179
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1/1/2000,MASA,59.61919981
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1/1/2000,MASA,54.34595799
Mazandaran,1550,99348,36.39,51.73,Kojur,1/1/2000,MASA,58.15229011
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1/1/2000,MASA,70.29578322
Mazandaran,610,99360,36.1,53.06,Polsefid,1/1/2000,MASA,53.19728059
Mazandaran,-20,40732,36.9,50.68,Ramsar,1/1/2000,MASA,96.33967739
Mazandaran,23,40759,36.54,53,Sari,1/1/2000,MASA,49.20035344
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1/1/2000,MASA,45.70559061
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1/1/2000,MASA,75.01229823
Mazandaran,1805,99361,36.07,52.84,Alasht,2/1/2000,MASA,36.33891213
Mazandaran,23.7,99309,36.48,52.47,Amol,2/1/2000,MASA,47.74169058
Mazandaran,-21,40736,36.7,52.64,Babolsar,2/1/2000,MASA,47.19550896
Mazandaran,2120,99357,36.2,51.8,Baladeh,2/1/2000,MASA,48.24846339
Mazandaran,-20,99306,36.86,53.39,Bandar-E-Amirabad,2/1/2000,MASA,38.71746212
Mazandaran,-10,99299,36.74,53.84,Galugah,2/1/2000,MASA,43.68661141
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2/1/2000,MASA,45.80138117
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2/1/2000,MASA,37.96524709
Mazandaran,1550,99348,36.39,51.73,Kojur,2/1/2000,MASA,52.60930085
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2/1/2000,MASA,49.00248301
