Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,TerraClimate
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-05-01,MASA,9
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-05-01,MASA,14
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-06-01,MASA,2
Mazandaran,23.7,99309,36.48,52.47,Amol,1980-06-01,MASA,3
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1980-06-01,MASA,1
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1980-06-01,MASA,1
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-06-01,MASA,1
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-06-01,MASA,3
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-06-01,MASA,5
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-06-01,MASA,2
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-06-01,MASA,2
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-06-01,MASA,5
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-06-01,MASA,2
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1980-06-01,MASA,6
Mazandaran,23.0,40759,36.54,53.0,Sari,1980-06-01,MASA,1
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-06-01,MASA,1
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-06-01,MASA,2
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-07-01,MASA,0
Mazandaran,23.7,99309,36.48,52.47,Amol,1980-07-01,MASA,1
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1980-07-01,MASA,0
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1980-07-01,MASA,1
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-07-01,MASA,1
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-07-01,MASA,2
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-07-01,MASA,1
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-07-01,MASA,0
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-07-01,MASA,1
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-07-01,MASA,1
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-07-01,MASA,0
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1980-07-01,MASA,8
Mazandaran,23.0,40759,36.54,53.0,Sari,1980-07-01,MASA,0
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-07-01,MASA,0
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-07-01,MASA,1
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-08-01,MASA,8
Mazandaran,23.7,99309,36.48,52.47,Amol,1980-08-01,MASA,40
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1980-08-01,MASA,16
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1980-08-01,MASA,4
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-08-01,MASA,8
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-08-01,MASA,17
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-08-01,MASA,53
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-08-01,MASA,7
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-08-01,MASA,10
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-08-01,MASA,45
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-08-01,MASA,17
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1980-08-01,MASA,54
Mazandaran,23.0,40759,36.54,53.0,Sari,1980-08-01,MASA,18
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-08-01,MASA,7
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-08-01,MASA,4
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-09-01,MASA,18
Mazandaran,23.7,99309,36.48,52.47,Amol,1980-09-01,MASA,128
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1980-09-01,MASA,140
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1980-09-01,MASA,3
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-09-01,MASA,83
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-09-01,MASA,74
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-09-01,MASA,117
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-09-01,MASA,19
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-09-01,MASA,12
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-09-01,MASA,120
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-09-01,MASA,45
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1980-09-01,MASA,65
Mazandaran,23.0,40759,36.54,53.0,Sari,1980-09-01,MASA,113
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-09-01,MASA,107
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-09-01,MASA,3
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-10-01,MASA,28
Mazandaran,23.7,99309,36.48,52.47,Amol,1980-10-01,MASA,158
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1980-10-01,MASA,173
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1980-10-01,MASA,14
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-10-01,MASA,90
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-10-01,MASA,75
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-10-01,MASA,159
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-10-01,MASA,24
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-10-01,MASA,32
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-10-01,MASA,229
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-10-01,MASA,52
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1980-10-01,MASA,246
Mazandaran,23.0,40759,36.54,53.0,Sari,1980-10-01,MASA,117
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-10-01,MASA,110
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-10-01,MASA,18
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-11-01,MASA,22
Mazandaran,23.7,99309,36.48,52.47,Amol,1980-11-01,MASA,122
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1980-11-01,MASA,134
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1980-11-01,MASA,17
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-11-01,MASA,91
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-11-01,MASA,77
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-11-01,MASA,129
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-11-01,MASA,24
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-11-01,MASA,33
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-11-01,MASA,181
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-11-01,MASA,42
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1980-11-01,MASA,140
Mazandaran,23.0,40759,36.54,53.0,Sari,1980-11-01,MASA,98
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-11-01,MASA,99
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-11-01,MASA,21
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-12-01,MASA,28
Mazandaran,23.7,99309,36.48,52.47,Amol,1980-12-01,MASA,101
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1980-12-01,MASA,108
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1980-12-01,MASA,19
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-12-01,MASA,56
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-12-01,MASA,47
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-12-01,MASA,98
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-12-01,MASA,27
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-12-01,MASA,31
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-12-01,MASA,120
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-12-01,MASA,45
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1980-12-01,MASA,89
Mazandaran,23.0,40759,36.54,53.0,Sari,1980-12-01,MASA,80
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-12-01,MASA,71
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-12-01,MASA,22
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-01-01,MASA,38
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-01-01,MASA,97
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-01-01,MASA,95
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-01-01,MASA,25
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-01-01,MASA,51
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-01-01,MASA,44
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-01-01,MASA,92
