Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,ERA5
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-05-01,MASA,32.36158022332347
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-05-01,MASA,61.74348124909557
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-05-01,MASA,134.91250404763377
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-05-01,MASA,114.88376388001598
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-05-01,MASA,197.60410317826427
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-05-01,MASA,110.18547245907939
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-05-01,MASA,119.78876420903362
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1980-05-01,MASA,84.90362593579448
Mazandaran,23.0,40759,36.54,53.0,Sari,1980-05-01,MASA,77.3359371130482
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-05-01,MASA,59.353156179668076
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-05-01,MASA,101.92702540803111
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-06-01,MASA,54.54938829335276
Mazandaran,23.7,99309,36.48,52.47,Amol,1980-06-01,MASA,37.39655733498637
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1980-06-01,MASA,9.409092072573344
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1980-06-01,MASA,80.43000817689006
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-06-01,MASA,10.338268879976908
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-06-01,MASA,29.43953097256724
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-06-01,MASA,75.81759214791362
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-06-01,MASA,47.446079258051554
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-06-01,MASA,118.27862978371684
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-06-01,MASA,55.213458541956584
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-06-01,MASA,52.130765918818156
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1980-06-01,MASA,62.441177372065226
Mazandaran,23.0,40759,36.54,53.0,Sari,1980-06-01,MASA,26.07767999562327
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-06-01,MASA,18.454380039301554
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-06-01,MASA,80.4984343090922
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-07-01,MASA,30.061066158705074
Mazandaran,23.7,99309,36.48,52.47,Amol,1980-07-01,MASA,48.99783433287652
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1980-07-01,MASA,5.70124388545068
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1980-07-01,MASA,53.653597839765865
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-07-01,MASA,1.8505454143813438
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-07-01,MASA,6.906017669134457
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-07-01,MASA,40.043339141302425
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-07-01,MASA,43.230608113699276
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-07-01,MASA,72.49367237895044
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-07-01,MASA,35.94446183054956
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-07-01,MASA,24.411529310636837
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1980-07-01,MASA,31.858161099844295
Mazandaran,23.0,40759,36.54,53.0,Sari,1980-07-01,MASA,47.8130281051925
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-07-01,MASA,22.977262743406612
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-07-01,MASA,41.95524752944024
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-08-01,MASA,132.77914841717475
Mazandaran,23.7,99309,36.48,52.47,Amol,1980-08-01,MASA,104.44606562203163
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1980-08-01,MASA,41.389969187438425
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1980-08-01,MASA,138.40254862850898
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-08-01,MASA,44.02093310898536
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-08-01,MASA,58.27419181412452
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-08-01,MASA,179.64687665051216
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-08-01,MASA,121.71257753914588
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-08-01,MASA,218.46604068821662
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-08-01,MASA,163.97681553906196
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-08-01,MASA,102.22987552231544
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1980-08-01,MASA,174.7741075331568
Mazandaran,23.0,40759,36.54,53.0,Sari,1980-08-01,MASA,89.80636020249122
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-08-01,MASA,72.31843193119758
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-08-01,MASA,100.20692368096107
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-09-01,MASA,186.1053471872829
Mazandaran,23.7,99309,36.48,52.47,Amol,1980-09-01,MASA,114.4485836336635
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1980-09-01,MASA,51.95917835927233
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1980-09-01,MASA,97.66649356580004
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-09-01,MASA,60.52190712189898
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-09-01,MASA,87.91764727330431
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-09-01,MASA,198.17469170785174
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-09-01,MASA,111.85554316735491
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-09-01,MASA,212.36436715817675
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-09-01,MASA,161.46492114758715
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-09-01,MASA,137.12116232609972
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1980-09-01,MASA,176.24325206971392
Mazandaran,23.0,40759,36.54,53.0,Sari,1980-09-01,MASA,102.10322490430102
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-09-01,MASA,82.53613761162981
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-09-01,MASA,62.343737990619985
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-10-01,MASA,139.26694766117365
Mazandaran,23.7,99309,36.48,52.47,Amol,1980-10-01,MASA,125.17623082233698
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1980-10-01,MASA,121.02912590338022
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1980-10-01,MASA,109.70137492252618
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-10-01,MASA,120.647946749461
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-10-01,MASA,105.67808375192911
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-10-01,MASA,198.25179353786737
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-10-01,MASA,126.27621964050562
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-10-01,MASA,150.23213848902017
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-10-01,MASA,195.07238492800028
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-10-01,MASA,123.76227453781397
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1980-10-01,MASA,270.7429550631168
Mazandaran,23.0,40759,36.54,53.0,Sari,1980-10-01,MASA,122.83329144550592
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-10-01,MASA,112.5852488024357
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-10-01,MASA,108.55052844120294
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-11-01,MASA,118.9714123390786
Mazandaran,23.7,99309,36.48,52.47,Amol,1980-11-01,MASA,128.10308233724754
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1980-11-01,MASA,81.93429306970756
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1980-11-01,MASA,68.43972698675316
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-11-01,MASA,101.63319603429954
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-11-01,MASA,103.3963163279168
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-11-01,MASA,181.35747061000984
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-11-01,MASA,86.00499973522346
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-11-01,MASA,89.07612905727547
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-11-01,MASA,214.1981323145501
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-11-01,MASA,114.58882436977547
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1980-11-01,MASA,272.1562732838265
Mazandaran,23.0,40759,36.54,53.0,Sari,1980-11-01,MASA,113.93947646843117
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-11-01,MASA,113.54186133371513
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-11-01,MASA,67.81173244939964
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-12-01,MASA,82.35875519405411
Mazandaran,23.7,99309,36.48,52.47,Amol,1980-12-01,MASA,90.51389994512604
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1980-12-01,MASA,68.36971642862366
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1980-12-01,MASA,63.33614143024491
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-12-01,MASA,88.16265317092942
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-12-01,MASA,96.8100577820401
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-12-01,MASA,111.65889354835556
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-12-01,MASA,93.09285136352585
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-12-01,MASA,86.59743519912766
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-12-01,MASA,147.54862340580033
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-12-01,MASA,72.51623275171326
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1980-12-01,MASA,127.21052023063706
Mazandaran,23.0,40759,36.54,53.0,Sari,1980-12-01,MASA,83.32838865409897
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-12-01,MASA,84.79620518575715
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-12-01,MASA,67.57408382783936
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-01-01,MASA,66.76235946336107
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-01-01,MASA,85.89933963933305
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-01-01,MASA,57.6331630579503
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-01-01,MASA,53.23456379094438
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-01-01,MASA,46.74436303296403
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-01-01,MASA,51.33748205819444
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-01-01,MASA,95.27130576291398
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-01-01,MASA,56.88424559750871
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-01-01,MASA,48.64949139275865
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-01-01,MASA,114.09491451897935
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-01-01,MASA,59.47302433171586
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-01-01,MASA,135.84274204888658
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-01-01,MASA,70.78832539239244
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-01-01,MASA,56.53983505883531
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-01-01,MASA,74.81038721719102
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-02-01,MASA,77.7027810285631
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-02-01,MASA,91.46868235569627
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-02-01,MASA,48.09959775906236
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-02-01,MASA,60.845842428022934
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-02-01,MASA,65.13833052616746
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-02-01,MASA,72.51146978836687
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-02-01,MASA,94.389816589171
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-02-01,MASA,76.80304891567857
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-02-01,MASA,51.661526627356125
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-02-01,MASA,114.64855617981584
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-02-01,MASA,70.65347380142839
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-02-01,MASA,112.67442054253252
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-02-01,MASA,75.64949042301805
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-02-01,MASA,69.04857403736742
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-02-01,MASA,82.67410642605455
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-03-01,MASA,82.3199849971985
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-03-01,MASA,84.19370170919649
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-03-01,MASA,47.296772564337175
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-03-01,MASA,93.12425073473207
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-03-01,MASA,73.87488600103609
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-03-01,MASA,82.32151981680147
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-03-01,MASA,113.73430010168306
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-03-01,MASA,81.63031455366365
