system:index,Province,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,mean,.geo
2020_02_02_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2020-02-02,20.400000000000002,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
2020_02_02_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2020-02-02,24.6,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
2020_02_02_00000000000000000016,Gilan,-21.1,40709,38.365,48.855,Astara,2020-02-02,17.5,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
2020_02_02_00000000000000000017,Gilan,7.0,99249,37.839,48.897,Talesh,2020-02-02,14.3,"{""type"":""Point"",""coordinates"":[48.89699943503249,37.838999587421554]}"
2020_02_02_00000000000000000018,Gilan,-8.6,40719,37.323,49.624,Rasht,2020-02-02,24.8,"{""type"":""Point"",""coordinates"":[49.62399789348315,37.32300133171889]}"
2020_02_10_00000000000000000000,Mazandaran,23.0,40759,36.536,52.998,Sari,2020-02-10,19.700000000000003,"{""type"":""Point"",""coordinates"":[52.997999001078234,36.53600120949307]}"
2020_02_10_00000000000000000001,Mazandaran,-20.0,99306,36.856,53.386,Bandar-e-amirabad,2020-02-10,22.1,"{""type"":""Point"",""coordinates"":[53.38599876104172,36.85599967839152]}"
2020_02_10_00000000000000000002,Mazandaran,2120.0,99357,36.198,51.801,Baladeh,2020-02-10,12.4,"{""type"":""Point"",""coordinates"":[51.80099791429122,36.198001349641885]}"
2020_02_10_00000000000000000003,Mazandaran,-10.0,99299,36.738,53.837,Galugah,2020-02-10,18.7,"{""type"":""Point"",""coordinates"":[53.83700115978934,36.73799848721418]}"
2020_02_10_00000000000000000004,Mazandaran,14.7,40737,36.487,52.108,Gharakhil,2020-02-10,17.5,"{""type"":""Point"",""coordinates"":[52.10799810361887,36.48700014801676]}"
