system:index,Province,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,mean,precipitation_mm,.geo
200002_00000000000000000008,Mazandaran,1550.0,99348,36.39,51.729,Kojur,2000-02,0.05190150662349424,51.90150662349424,"{""type"":""Point"",""coordinates"":[51.729001268682296,36.390001322801155]}"
200002_00000000000000000009,Mazandaran,610.0,99360,36.104,53.062,Polsefid,2000-02,0.06169155462669096,61.69155462669096,"{""type"":""Point"",""coordinates"":[53.06200047849835,36.103999040334195]}"
200002_0000000000000000000a,Mazandaran,1855.4,40735,36.231,51.303,Siahbisheh,2000-02,0.05321194454120359,53.21194454120359,"{""type"":""Point"",""coordinates"":[51.303001049541336,36.23099869743738]}"
200002_0000000000000000000b,Mazandaran,-21.0,40736,36.699,52.643,Babolsar,2000-02,0.07878670319007597,78.78670319007597,"{""type"":""Point"",""coordinates"":[52.6430010480113,36.69899918940074]}"
200002_0000000000000000000c,Mazandaran,-20.9,40734,36.661,51.466,Nowshahr,2000-02,0.12354915066646299,123.54915066646299,"{""type"":""Point"",""coordinates"":[51.465999029448994,36.66099873022328]}"
200002_0000000000000000000d,Mazandaran,-20.0,40732,36.905,50.684,Ramsar,2000-02,0.11784745975421629,117.84745975421629,"{""type"":""Point"",""coordinates"":[50.684002018605135,36.90500073986783]}"
200002_0000000000000000000e,Mazandaran,16.7,40788,36.64,53.195,Sari (dasht-e-naz airport),2000-02,0.11331239565299711,113.31239565299711,"{""type"":""Point"",""coordinates"":[53.195002085619485,36.6400008233626]}"
200002_0000000000000000000f,Gilan,-23.6,40718,37.48,49.458,Bandar-e-anzali,2000-02,0.10348911806033811,103.48911806033811,"{""type"":""Point"",""coordinates"":[49.45799893856652,37.48000182070969]}"
200002_00000000000000000010,Gilan,1581.4,40805,36.708,49.802,Jirandeh,2000-02,0.05535823329375944,55.35823329375944,"{""type"":""Point"",""coordinates"":[49.80200074843565,36.70800211442765]}"
200002_00000000000000000011,Gilan,-22.0,99268,37.417,49.883,Kiyashahr,2000-02,0.13145822509216032,131.45822509216032,"{""type"":""Point"",""coordinates"":[49.883000319071506,37.41699918192554]}"
200002_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2000-02,0.13425591810630522,134.25591810630522,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
200002_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2000-02,0.053564923247563456,53.564923247563456,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
200002_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2000-02,0.08382864519046507,83.82864519046507,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
200002_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2000-02,0.1269223116247531,126.92231162475309,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
200002_00000000000000000016,Gilan,-21.1,40709,38.365,48.855,Astara,2000-02,0.10822794063972196,108.22794063972196,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
200002_00000000000000000017,Gilan,7.0,99249,37.839,48.897,Talesh,2000-02,0.16313739343570433,163.13739343570433,"{""type"":""Point"",""coordinates"":[48.89699943503249,37.838999587421554]}"
200002_00000000000000000018,Gilan,-8.6,40719,37.323,49.624,Rasht,2000-02,0.12734547480033598,127.34547480033598,"{""type"":""Point"",""coordinates"":[49.62399789348315,37.32300133171889]}"
