system:index,Province,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,mean,.geo
2012_01_17_0000000000000000000d,Mazandaran,-20.0,40732,36.905,50.684,Ramsar,2012-01-17,12.3,"{""type"":""Point"",""coordinates"":[50.684002018605135,36.90500073986783]}"
2012_01_17_0000000000000000000e,Mazandaran,16.7,40788,36.64,53.195,Sari (dasht-e-naz airport),2012-01-17,17.6,"{""type"":""Point"",""coordinates"":[53.195002085619485,36.6400008233626]}"
2012_01_17_0000000000000000000f,Gilan,-23.6,40718,37.48,49.458,Bandar-e-anzali,2012-01-17,-999.0,"{""type"":""Point"",""coordinates"":[49.45799893856652,37.48000182070969]}"
2012_01_17_00000000000000000010,Gilan,1581.4,40805,36.708,49.802,Jirandeh,2012-01-17,12.600000000000001,"{""type"":""Point"",""coordinates"":[49.80200074843565,36.70800211442765]}"
2012_01_17_00000000000000000011,Gilan,-22.0,99268,37.417,49.883,Kiyashahr,2012-01-17,15.4,"{""type"":""Point"",""coordinates"":[49.883000319071506,37.41699918192554]}"
2012_01_17_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2012-01-17,11.0,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
2012_01_17_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2012-01-17,12.5,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
2012_01_17_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2012-01-17,12.3,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
2012_01_17_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2012-01-17,11.3,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
2012_01_17_00000000000000000016,Gilan,-21.1,40709,38.365,48.855,Astara,2012-01-17,9.200000000000001,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
2012_01_17_00000000000000000017,Gilan,7.0,99249,37.839,48.897,Talesh,2012-01-17,8.1,"{""type"":""Point"",""coordinates"":[48.89699943503249,37.838999587421554]}"
2012_01_17_00000000000000000018,Gilan,-8.6,40719,37.323,49.624,Rasht,2012-01-17,12.3,"{""type"":""Point"",""coordinates"":[49.62399789348315,37.32300133171889]}"
