system:index,Province,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,mean,.geo
200002_00000000000000000010,Gilan,1581.4,40805,36.708,49.802,Jirandeh,2000-02,55.35823329375944,"{""type"":""Point"",""coordinates"":[49.80200074843565,36.70800211442765]}"
200002_00000000000000000011,Gilan,-22.0,99268,37.417,49.883,Kiyashahr,2000-02,131.45822509216032,"{""type"":""Point"",""coordinates"":[49.883000319071506,37.41699918192554]}"
200002_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2000-02,134.25591810630522,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
200002_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2000-02,53.564923247563456,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
200002_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2000-02,83.82864519046507,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
200002_00000000000000000015,Gilan,-21.1,40709,38.365,48.855,Astara,2000-02,108.22794063972196,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
200002_00000000000000000016,Gilan,7.0,99249,37.839,48.897,Talesh,2000-02,163.13739343570433,"{""type"":""Point"",""coordinates"":[48.89699943503249,37.838999587421554]}"
200002_00000000000000000017,Gilan,-8.6,40719,37.323,49.624,Rasht,2000-02,127.34547480033598,"{""type"":""Point"",""coordinates"":[49.62399789348315,37.32300133171889]}"
200003_00000000000000000000,Mazandaran,23.0,40759,36.536,52.998,Sari,2000-03,92.15250822916587,"{""type"":""Point"",""coordinates"":[52.997999001078234,36.53600120949307]}"
200003_00000000000000000001,Mazandaran,-20.0,99306,36.856,53.386,Bandar-e-amirabad,2000-03,89.91877946272453,"{""type"":""Point"",""coordinates"":[53.38599876104172,36.85599967839152]}"
200003_00000000000000000002,Mazandaran,2120.0,99357,36.198,51.801,Baladeh,2000-03,66.24794217959007,"{""type"":""Point"",""coordinates"":[51.80099791429122,36.198001349641885]}"
200003_00000000000000000003,Mazandaran,-10.0,99299,36.738,53.837,Galugah,2000-03,99.76601812258323,"{""type"":""Point"",""coordinates"":[53.83700115978934,36.73799848721418]}"
