Station,Index,Scale,Accuracy,Precision,Recall,F1-score
Ramsar,SPEI,1,0.6090909090909091,0.6186717026289219,0.6090909090909091,0.6053037900258306
Ramsar,SPEI,3,0.5636363636363636,0.5504620673444204,0.5636363636363636,0.5511951994168489
Ramsar,SPEI,6,0.5409090909090909,0.5342335383914331,0.5409090909090909,0.5321638860149879
Ramsar,SPEI,9,0.4818181818181818,0.48283699059561125,0.4818181818181818,0.48107389686337054
Ramsar,SPEI,12,0.4909090909090909,0.4764719167688489,0.4909090909090909,0.4814068178774062
Ramsar,SPEI,15,0.4590909090909091,0.45798362065741743,0.4590909090909091,0.4550822147929508
Ramsar,SPEI,18,0.45,0.4676176660219214,0.45,0.455468008056689
Ramsar,SPEI,21,0.44545454545454544,0.474477886977887,0.44545454545454544,0.45465844889573703
Ramsar,SPEI,24,0.4409090909090909,0.452254393430864,0.4409090909090909,0.44509043166761286
Ramsar,SPI,1,0.5770925110132159,0.5785593346829507,0.5770925110132159,0.5748808302391183
Ramsar,SPI,3,0.5726872246696035,0.5567261596268464,0.5726872246696035,0.563178545839572
Ramsar,SPI,6,0.5726872246696035,0.5189031207196535,0.5726872246696035,0.535031539730947
Ramsar,SPI,9,0.5418502202643172,0.5159703030800521,0.5418502202643172,0.5268220138735125
Ramsar,SPI,12,0.5991189427312775,0.5538088013308278,0.5991189427312775,0.5712241518596378
Ramsar,SPI,15,0.4845814977973568,0.49074175728124747,0.4845814977973568,0.48512136227053154
Ramsar,SPI,18,0.4933920704845815,0.4852448910474891,0.4933920704845815,0.4890081036110155
Ramsar,SPI,21,0.5286343612334802,0.5056289769946158,0.5286343612334802,0.5167559562040486
Ramsar,SPI,24,0.5066079295154186,0.5100489798284257,0.5066079295154186,0.5062172487646875
Sari,SPEI,1,0.6772727272727272,0.6724783549783551,0.6772727272727272,0.6731850540032358
Sari,SPEI,3,0.6954545454545454,0.7142227736580101,0.6954545454545454,0.701394386558122
Sari,SPEI,6,0.6590909090909091,0.6802307221933677,0.6590909090909091,0.6680056180753045
Sari,SPEI,9,0.6272727272727273,0.6517228562683107,0.6272727272727273,0.6366325148232135
Sari,SPEI,12,0.6318181818181818,0.6713047223158446,0.6318181818181818,0.6501437873317316
Sari,SPEI,15,0.5818181818181818,0.5931977881582624,0.5818181818181818,0.5812286682799593
Sari,SPEI,18,0.6318181818181818,0.6396065283821039,0.6318181818181818,0.6245631897746523
Sari,SPEI,21,0.6681818181818182,0.6973191517304755,0.6681818181818182,0.675181611105981
Sari,SPEI,24,0.7227272727272728,0.791653466483012,0.7227272727272728,0.7519392900173095
Sari,SPI,1,0.6872246696035242,0.6868094587067699,0.6872246696035242,0.6839988025709253
Sari,SPI,3,0.6696035242290749,0.7279346957239377,0.6696035242290749,0.6927585069331637
Sari,SPI,6,0.6475770925110133,0.6712680765763007,0.6475770925110133,0.6561314870720071
Sari,SPI,9,0.6696035242290749,0.6788969620687683,0.6696035242290749,0.6724689909476089
Sari,SPI,12,0.6211453744493393,0.6558777940936532,0.6211453744493393,0.6333776614678402
Sari,SPI,15,0.6343612334801763,0.6465471990219335,0.6343612334801763,0.6323016840066236
Sari,SPI,18,0.6035242290748899,0.6822913677767087,0.6035242290748899,0.6313583367035223
Sari,SPI,21,0.6299559471365639,0.6289021909347697,0.6299559471365639,0.6177984654822203
Sari,SPI,24,0.6431718061674009,0.7567012212786388,0.6431718061674009,0.6900962142554696
Alasht,SPEI,1,0.6,0.6439019722107957,0.6,0.6167940331802021
Alasht,SPEI,3,0.6318181818181818,0.6297236811233237,0.6318181818181818,0.6287140347056575
Alasht,SPEI,6,0.6545454545454545,0.6787436566623168,0.6545454545454545,0.6622950098898005
Alasht,SPEI,9,0.5909090909090909,0.6151805699035814,0.5909090909090909,0.5999245980615033
Alasht,SPEI,12,0.5590909090909091,0.5855888630138305,0.5590909090909091,0.5693267906336088
Alasht,SPEI,15,0.5727272727272728,0.5806429209985341,0.5727272727272728,0.5722014864088035
Alasht,SPEI,18,0.5818181818181818,0.5803576365848264,0.5818181818181818,0.5723551212316285
Alasht,SPEI,21,0.6318181818181818,0.6450046629664541,0.6318181818181818,0.6358227925995621
Alasht,SPEI,24,0.6181818181818182,0.6408674318276335,0.6181818181818182,0.6222158079197709
Alasht,SPI,1,0.6387665198237885,0.6768849417330354,0.6387665198237885,0.6544573756508932
Alasht,SPI,3,0.6563876651982379,0.6602448576471567,0.6563876651982379,0.6565774982610711
Alasht,SPI,6,0.6916299559471366,0.6850788932950177,0.6916299559471366,0.6861184726856878
Alasht,SPI,9,0.6123348017621145,0.6528992213625538,0.6123348017621145,0.6306614900113305
Alasht,SPI,12,0.5947136563876652,0.5875461197694937,0.5947136563876652,0.5900956905646191
Alasht,SPI,15,0.5947136563876652,0.5959565397891389,0.5947136563876652,0.592555588240278
Alasht,SPI,18,0.6211453744493393,0.6825554434525387,0.6211453744493393,0.644811857333791
Alasht,SPI,21,0.6475770925110133,0.6430567963607612,0.6475770925110133,0.642596886226097
Alasht,SPI,24,0.6387665198237885,0.7127518360777673,0.6387665198237885,0.6657559327603381
